Июнь;Nirvana;Жанр;;Июль;KSB music;Жанр;;Август;Metallica;Жанр;;Сентябрь;Twenty One Pilots;Жанр;;Октябрь;KSB Music;Жанр;;Ноябрь;KSB music;Жанр;;Декабрь;Oxxxymiron;Рок;;Январь;Radiohead;Рок;;Февраль;Taylor Swift;Рок;;Март;Daft Punk;Рок;;Апрель;The Beatles;Рок
Трек;Korn;Рок;;Трек;The Beatles;Рок;;Трек;KSB Music; Рок;;Трек;RHCP;Рок;;Трек;Radiohead;Рок;;Трек;ЛСП;Рок;;C.R.E.A.M.;ЛСП;Ню Метал;;For the First Time;RHCP;Ню-метал;;Wake Up in the Sky;Twenty One Pilots;Ню-метал;;Veridis Quo;Tyler, The Creator;Ню-метал;;Psycho;Kanye West;Ню-метал
Enjoy the Silence;Radiohead;Ню-Метал;;Rockin Around The Christmas Tree;Mac DeMarco;Ню Метал;;Осень;Scorpions;Фанк Рок;;Wonderwall;Хаски;Ню метал;;Ingenue;RHCP;Ню Метал;;Когда нибудь;Хаски;Альтернативный Метал;;Don't Let Me Down;Djo;Альтернативный метал;;Heroes;Twenty One Pilots;Альтернативный метал;;Some;RHCP;Альтернативный метал;;Go With The Flow;Twenty One Pilots;Рэп-метал;;Father Stretch My hands Pt.1;RHCP;Рэп-метал
Jailhouse Rock;RHCP;Альтернативный Метал;;Деп;Daft Punk;Рэп Метал;;Numb;RHCP;Альтернативный металл;;Лоботомия;Korn;Рэп метал;;Backyard Boy;Korn;Рэп Метал;;Бас;RHCP;Ню метал;;Creep (Richard Cheese cover);Richard Cheese;Рэп Метал;;bitches broken heart;The Beatles;Рэп-метал;;Пустой вокзал - Acoustic Live;Tyler, The Creator;Рэп-метал;;The Getaway;Korn;Альтернативный метал;;All My Loving;Mac DeMarco;Альтернативный метал
Whiplash;The Beatles;Рэп-Метал;;Sextape;RHCP;Альтернативный метал;;The Contract;Twenty One Pilots;Классический рок;;You ll Never Walk Alone;Oxxxymiron;Альтернативный метал;;Jigsaw Falling Into Place;The Beatles;Альтернативный метал;;Дура;Korn;Рэп метал;;Midwest Indigo;Radiohead;Метал;;Too Much To Ask;SOAD;Альтернативный рок;;Wi$h Li$t;Radiohead;Метал;;Uuuu;RHCP;Метал;;Криминальная Россия;Twenty One Pilots;Метал
No More Tears;SOAD;Метал;;On The Level;Nirvana;Метал;;When I'm Small ;Queen;Хеви Метал;;Riders on the Storm;SOAD;Метал;;SHINOBI;Oxxxymiron;Метал;;Моя Футболочка;The Beatles;Метал;;Roddy;Хаски;Альтернативный рок;;Dream Brother;Noize MC;Метал;;Moonlight on the River;Korn;Альтернативный рок;;Thin Night Has Opened My Eyes;The Beatles;Альтернативный рок;;In My Room;Tyler, The Creator;Альтернативный рок
Clown;Queen;Альтернативный Рок;;Sensual Seduction;Metallica;Альтернативный рок;;Didn't Cha Know;Led Zepellin;Глэм Метал;;People Are Strange;Radiohead;Альтернативный рок;;Канкан;Muse;Альтернативный рок;;На урсе;SOAD;Альтернативный рок;;Virtual Insanity;RHCP;Арт рок;;Yeah You;Imagine Dragons;Арт-рок;;What A Wonderful World;SOAD;Классический рок;;Madness;Muse;Классический рок;;Mean Mr Mustard;Radiohead;Классический рок
Motobreath;Oxxxymiron;Классический Рок;;Thunderstruck;Korn;Классический рок;;Пока не станет плохо;Korn;Ню Метал;;Song 2;ЛСП;Хеви метал;;Кент;Хаски;Класический рок;;Руинеры;Limp Bizkit;Классический рок;;Дни рождения;Twenty One Pilots;Электроника;;God's Plan;Limp Bizkit;Классический рок;;Flashing Lights;The Beatles;Хеви-метал;;Babydoll;Radiohead;Хеви-метал;;Porcelain;Djo;Хеви-метал
Sweater Weather;Limp Bizkit;Хеви Метал;;Chamber Of Reflection;SOAD;Хеви Метал;;Roots Bloody Roots;Radiohead;Рэп Метал;;Days Lie Dormant;Noize MC;Класический рок;;П.М.М.Л.;Noize MC;Арт рок;;Tomorrow Comes Today;Radiohead;Арт Рок;;It's Been A Long Long, Time;The Beatles;Свинг;;Brain Damage;BMTH;Хеви-метал;;Wood;Mac DeMarco;;;Everybody Dies In Their Nightmares;C418;;;I Wonder;SOAD;
Hotel California;Frank Sinatra;Арт-Рок;;Insant Crush;Radiohead;Хард рок;;This Love (Maroon 5);Oxxxymiron;Метал;;Hoe Cakes;Limp Bizkit;Арт рок;;Сатоши;Richard Cheese;Свинг;;Пауза;Nirvana;Рэп рок;;Freak On A Leash (Richard Cheese cover);SOAD;Класический рок;;Staircase;Nirvana;;;Actually Romantic;Oxxxymiron;;;Y'all Want a Single;SOAD;;;ГДЕ БЫ Я НИ ЗАСНУЛ;Limp Bizkit;
